
11월 21, 2023 09:36:16.872 NEW SESSION
12월 13, 2023 11:19:53.62 [4756:6108:1213/111953.061:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:19:55.85 [4756:6108:1213/111955.085:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:19:57.106 [4756:6108:1213/111957.105:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:19:59.144 [4756:6108:1213/111959.143:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:20:01.163 [4756:6108:1213/112001.162:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:20:03.190 [4756:6108:1213/112003.190:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:20:05.216 [4756:6108:1213/112005.216:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:20:07.242 [4756:6108:1213/112007.242:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:20:09.261 [4756:6108:1213/112009.261:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
12월 13, 2023 11:50:03.847 [4756:6108:1213/115003.846:ERROR:leveldb_factory.cc(88)] Failed to open LevelDB database from C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb,IO error: C:\Users\keduit\AppData\Local\Google\Chrome\User Data\Default\IndexedDB\https_www.youtube.com_0.indexeddb.leveldb/LOCK: File currently in use. (ChromeMethodBFE: 15::LockFile::2)
