0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:21 +0900] "GET /controller/resources/js/member.js HTTP/1.1" 200 1218
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:21 +0900] "GET /controller/resources/image/logo.png HTTP/1.1" 200 4874
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:21 +0900] "GET /controller/resources/image/login.png HTTP/1.1" 200 10137
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:21 +0900] "GET /controller/resources/image/register.png HTTP/1.1" 200 32237
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:21 +0900] "GET /controller/resources/image/myinfo.png HTTP/1.1" 200 5054
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:21 +0900] "GET /controller/resources/image/callcenter.png HTTP/1.1" 200 2460
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:21 +0900] "GET /controller/resources/image/search.png HTTP/1.1" 200 8371
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:24 +0900] "GET /controller/member/loginForm.do HTTP/1.1" 200 3431
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:24 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:28 +0900] "GET /controller/index.do HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:28 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:28 +0900] "GET /controller/resources/js/movie.js HTTP/1.1" 200 6324
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:28 +0900] "GET /controller/resources/banner/banner2.jpg HTTP/1.1" 200 115101
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:28 +0900] "GET /controller/resources/banner/banner3.jpg HTTP/1.1" 200 123519
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:28 +0900] "GET /controller/resources/banner/banner1.jpg HTTP/1.1" 200 588800
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:28 +0900] "GET /controller/movie/movieList1_5 HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:28 +0900] "GET /controller/resources/image/star2.png HTTP/1.1" 200 36617
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:28 +0900] "GET /controller/resources/mvImage/5.jpg HTTP/1.1" 200 164134
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:28 +0900] "GET /controller/resources/mvImage/4.jpg HTTP/1.1" 200 84888
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:28 +0900] "GET /controller/resources/mvImage/3.jpg HTTP/1.1" 200 145710
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:28 +0900] "GET /controller/resources/mvImage/1.jpg HTTP/1.1" 200 93556
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:28 +0900] "GET /controller/resources/mvImage/2.jpg HTTP/1.1" 200 63561
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:31 +0900] "GET /controller/movie/movieTotalList.do?check=null HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:31 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:31 +0900] "GET /controller/movie/movieList1 HTTP/1.1" 200 3055
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:40:31 +0900] "GET /controller/movie/chartCount HTTP/1.1" 200 11
